0.000000000000000000e+00 0.000000000000000000e+00
3.849941532845606584e-01 2.923778261475279069e-04
1.343373613114601683e+00 1.551819405300502216e-03
2.158636804787673391e+00 4.862961154651956885e-03
2.431199298388514674e+00 5.753183814391596082e-03
2.757210250732117895e+00 5.905516126549213360e-03
3.082756561870652057e+00 6.041901676574396897e-03
3.319536353078206048e+00 6.208889764875964203e-03
3.456906576148686128e+00 6.351574460814326389e-03
3.525893269120949469e+00 6.440193446095395305e-03
3.557893785748821536e+00 6.485755397975719386e-03
3.572170637880654365e+00 6.507057635912387103e-03
