0.000000000000000000e+00 0.000000000000000000e+00
-2.817121625808708174e+00 8.657990922044731105e-04
-4.936944223607616422e+00 1.167614337240594803e-03
-5.850092063321583602e+00 1.456191628260295259e-03
-6.102730522905050137e+00 1.888424634267923431e-03
-6.153128578955554318e+00 2.357664040011651745e-03
-6.154132637932075767e+00 2.705229589656492004e-03
-6.148636755168934265e+00 2.903503496378156447e-03
-6.144873110507640845e+00 3.001243136485508452e-03
-6.142957807080454025e+00 3.046068085278973853e-03
-6.142073508439805707e+00 3.065952738698794235e-03
-6.141680578176438310e+00 3.074644077632246193e-03
