TrpLoop2b 250 states RUN 10M_1 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_2 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_3 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_4 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_5 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_6 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_7 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_8 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_9 state 210 rmsd rank 3 th
TrpLoop2b 250 states RUN 10M_10 state 210 rmsd rank 3 th
TrpLoop2b 500 states RUN 10M_1 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_2 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_3 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_4 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_5 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_6 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_7 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_8 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_9 state 3 rmsd rank 0 th
TrpLoop2b 500 states RUN 10M_10 state 3 rmsd rank 0 th
TrpLoop2b 1000 states RUN 10M_1 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_2 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_3 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_4 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_5 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_6 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_7 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_8 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_9 state 359 rmsd rank 6 th
TrpLoop2b 1000 states RUN 10M_10 state 359 rmsd rank 6 th
TrpLoop2b 5000 states RUN 10M_1 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_2 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_3 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_4 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_5 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_6 state 2532 rmsd rank 0 th
TrpLoop2b 5000 states RUN 10M_7 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_8 state 2532 rmsd rank 0 th
TrpLoop2b 5000 states RUN 10M_9 state 957 rmsd rank 2 th
TrpLoop2b 5000 states RUN 10M_10 state 957 rmsd rank 2 th
TrpLoop2b 10000 states RUN 10M_1 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_2 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_3 state 7255 rmsd rank 5 th
TrpLoop2b 10000 states RUN 10M_4 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_5 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_6 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_7 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_8 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_9 state 4994 rmsd rank 62 th
TrpLoop2b 10000 states RUN 10M_10 state 4994 rmsd rank 62 th
